src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,35.237.69.59,62194,443,tcp,91,98080,21.941
142.251.150.119,172.24.219.170,443,61642,udp,48,54762,0.322
172.24.219.170,100.52.87.151,65059,443,tcp,20,16474,4.946
172.24.219.170,104.18.18.125,64864,443,tcp,38,13800,21.939
142.250.117.94,172.24.219.170,443,60854,udp,17,13781,0.633
35.237.69.59,172.24.219.170,443,62194,tcp,70,9835,21.94
172.24.219.170,142.250.117.94,60854,443,udp,17,8579,0.905
51.8.64.151,172.24.219.170,443,51231,tcp,14,7160,9.086
172.24.219.170,51.8.64.151,51231,443,tcp,13,6178,9.262
98.95.192.64,172.24.219.170,443,52717,tcp,12,5634,1.042
98.95.192.64,172.24.219.170,443,52732,tcp,12,5630,1.231
98.95.192.64,172.24.219.170,443,52726,tcp,11,5576,0.73
98.95.192.64,172.24.219.170,443,52727,tcp,11,5576,0.741
104.18.18.125,172.24.219.170,443,64864,tcp,57,4888,21.942
100.52.87.151,172.24.219.170,443,65059,tcp,20,4087,4.701
172.24.219.170,98.95.192.64,52732,443,tcp,11,3328,1.42
142.251.150.119,172.24.219.170,443,63480,udp,6,2790,0.075
98.94.218.104,172.24.219.170,443,56945,tcp,11,2784,1.174
172.24.219.170,98.95.192.64,52727,443,tcp,11,2724,1.074
172.24.219.170,98.95.192.64,52717,443,tcp,10,2670,1.082
172.24.219.170,98.95.192.64,52726,443,tcp,10,2670,1.094
172.24.219.170,142.251.150.119,61642,443,udp,25,2163,0.337
172.24.219.170,52.72.94.20,53778,443,tcp,6,1915,9.026
172.24.219.170,142.251.150.119,63480,443,udp,5,1768,0.008
52.0.72.152,172.24.219.170,443,56970,tcp,17,1122,21.378
52.200.247.187,172.24.219.170,443,58483,tcp,17,1122,21.212
172.24.219.170,52.0.72.152,56970,443,tcp,16,880,20.413
172.24.219.170,52.200.247.187,58483,443,tcp,16,880,20.37
172.24.219.170,98.94.218.104,56945,443,tcp,8,853,1.507
52.72.94.20,172.24.219.170,443,53778,tcp,5,600,0.026
216.239.34.223,172.24.219.170,443,57606,udp,4,520,0.008
172.24.219.139,172.24.219.170,53,54707,tcp,6,463,0.008
172.24.219.170,172.24.219.139,54707,53,tcp,7,430,0.008
172.24.219.170,172.24.219.139,52701,53,tcp,7,430,0.008
172.24.219.139,172.24.219.170,53,52701,tcp,6,422,0.008
216.239.34.223,172.24.219.170,443,60568,udp,4,409,0.173
172.24.219.139,172.24.219.170,53,51759,udp,1,388,0.0
172.24.219.139,172.24.219.170,53,51060,udp,1,388,0.0
172.24.219.170,35.71.162.24,57004,443,tcp,5,387,20.807
172.24.219.139,172.24.219.170,53,54465,tcp,3,387,0.007
172.24.219.170,216.239.34.223,60568,443,udp,3,368,0.167
172.24.219.170,216.239.34.223,57606,443,udp,3,362,0.008
35.71.162.24,172.24.219.170,443,57004,tcp,5,348,20.756
172.24.219.170,52.74.223.220,65190,443,tcp,5,348,15.071
172.24.219.170,52.74.223.220,59696,443,tcp,5,348,10.133
52.203.129.191,172.24.219.170,443,54908,tcp,5,330,15.932
52.4.67.246,172.24.219.170,443,52703,tcp,5,330,15.514
52.203.129.191,172.24.219.170,443,52704,tcp,5,330,15.329
52.203.129.191,172.24.219.170,443,52706,tcp,5,330,15.282
100.52.114.8,172.24.219.170,443,52707,tcp,5,330,15.275
54.204.230.178,172.24.219.170,443,52708,tcp,5,330,15.266
100.52.114.8,172.24.219.170,443,52709,tcp,5,330,15.873
52.4.67.246,172.24.219.170,443,52710,tcp,5,330,15.724
35.153.22.159,172.24.219.170,443,52711,tcp,5,330,15.651
54.204.230.178,172.24.219.170,443,52718,tcp,5,330,15.483
52.203.129.191,172.24.219.170,443,52719,tcp,5,330,15.377
100.27.106.98,172.24.219.170,443,52724,tcp,5,330,15.646
52.4.67.246,172.24.219.170,443,52725,tcp,5,330,15.529
54.204.230.178,172.24.219.170,443,52729,tcp,5,330,15.301
35.153.22.159,172.24.219.170,443,52730,tcp,5,330,15.65
100.27.106.98,172.24.219.170,443,52731,tcp,5,330,15.169
172.24.219.170,99.83.165.34,64854,443,tcp,4,294,10.779
99.83.165.34,172.24.219.170,443,64854,tcp,4,294,10.731
13.107.246.48,172.24.219.170,443,54791,tcp,4,279,0.056
32.193.11.138,172.24.219.170,443,52715,tcp,4,264,7.287
35.153.22.159,172.24.219.170,443,52720,tcp,4,264,7.155
35.153.22.159,172.24.219.170,443,52721,tcp,4,264,7.111
100.27.106.98,172.24.219.170,443,52723,tcp,4,264,7.154
32.193.11.138,172.24.219.170,443,52728,tcp,4,264,7.267
52.74.223.220,172.24.219.170,443,65190,tcp,3,240,15.02
52.74.223.220,172.24.219.170,443,59696,tcp,3,240,10.132
172.24.219.139,172.24.219.170,53,49364,tcp,2,221,0.0
172.24.219.139,172.24.219.170,53,58851,udp,1,206,0.0
54.204.230.178,172.24.219.170,443,54904,tcp,3,198,12.412
35.153.22.159,172.24.219.170,443,54905,tcp,3,198,12.651
100.52.114.8,172.24.219.170,443,52702,tcp,3,198,3.029
100.27.106.98,172.24.219.170,443,54906,tcp,3,198,12.368
32.193.11.138,172.24.219.170,443,52705,tcp,3,198,3.239
32.193.11.138,172.24.219.170,443,52713,tcp,3,198,3.043
100.27.106.98,172.24.219.170,443,52714,tcp,3,198,3.028
54.204.230.178,172.24.219.170,443,52716,tcp,3,198,3.045
100.52.114.8,172.24.219.170,443,52722,tcp,3,198,3.046
172.24.219.170,13.107.246.48,54791,443,tcp,3,162,0.0
20.201.215.0,172.24.219.170,3544,57116,udp,1,151,0.0
172.24.219.170,172.24.219.139,51759,53,udp,2,148,0.034
32.193.11.138,172.24.219.170,443,54903,tcp,2,132,4.015
23.1.241.99,172.24.219.170,443,55557,tcp,2,132,0.057
52.4.67.246,172.24.219.170,443,52712,tcp,2,120,0.142
15.206.54.182,172.24.219.170,443,59798,tcp,2,116,15.323
76.76.21.21,172.24.219.170,443,49802,tcp,2,116,0.029
172.24.219.170,51.8.64.151,51612,443,tcp,2,108,0.0
172.24.219.170,15.206.54.182,59798,443,tcp,2,108,15.322
172.24.219.170,76.76.21.21,49802,443,tcp,2,108,0.0
172.24.219.170,20.201.215.0,57116,3544,udp,1,103,0.0
172.24.219.170,172.24.219.255,59598,1947,udp,1,82,0.0
172.24.219.170,23.1.241.99,55557,443,tcp,1,82,0.0
172.24.219.170,98.95.192.64,54907,443,tcp,1,78,0.0
172.24.219.170,172.24.219.139,58851,53,udp,1,74,0.0
172.24.219.170,172.24.219.139,51060,53,udp,1,74,0.0
104.16.79.73,172.24.219.170,443,55906,tcp,1,70,0.0
142.251.150.119,172.24.219.170,443,52005,tcp,1,70,0.0
13.224.163.88,172.24.219.170,443,60151,tcp,1,70,0.0
104.18.34.91,172.24.219.170,443,62453,tcp,1,70,0.0
35.237.69.59,172.24.219.170,443,55221,tcp,1,70,0.0
172.24.219.170,52.203.129.191,54908,443,tcp,1,66,0.0
98.95.192.64,172.24.219.170,443,54907,tcp,1,66,0.0
172.24.219.170,100.52.114.8,52702,443,tcp,1,66,0.0
172.24.219.170,52.4.67.246,52703,443,tcp,1,66,0.0
172.24.219.170,52.203.129.191,52704,443,tcp,1,66,0.0
172.24.219.170,32.193.11.138,52705,443,tcp,1,66,0.0
172.24.219.170,52.203.129.191,52706,443,tcp,1,66,0.0
