src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,35.237.69.59,55027,443,tcp,324,369810,54.652
142.250.76.68,172.24.219.170,443,64174,udp,55,60942,0.047
35.237.69.59,172.24.219.170,443,55027,tcp,263,35458,54.612
172.24.219.170,104.18.19.125,58687,443,tcp,113,32272,54.813
172.24.219.170,52.21.244.50,55945,443,tcp,27,15838,6.001
172.24.219.170,142.250.77.78,54677,443,udp,15,10651,0.231
100.49.217.61,172.24.219.170,443,58361,tcp,15,10121,2.226
104.18.19.125,172.24.219.170,443,58687,tcp,86,8998,52.297
52.21.244.50,172.24.219.170,443,55945,tcp,29,8900,5.3
172.24.219.170,167.82.57.140,60209,443,udp,14,8218,46.75
142.250.76.68,172.24.219.170,443,52592,udp,14,7876,0.136
172.24.219.170,142.250.76.68,64174,443,udp,32,6553,0.049
172.24.219.170,104.18.5.149,50748,443,udp,11,6505,0.009
172.24.219.170,142.250.76.68,52592,443,udp,12,6055,0.19
142.250.77.78,172.24.219.170,443,54677,udp,16,5945,0.621
100.49.217.61,172.24.219.170,443,58362,tcp,10,5863,1.096
100.49.217.61,172.24.219.170,443,55301,tcp,9,5761,1.005
100.49.217.61,172.24.219.170,443,55300,tcp,11,5669,1.009
100.49.217.61,172.24.219.170,443,59149,tcp,12,5634,6.69
54.84.201.155,172.24.219.170,443,64756,tcp,11,5580,1.035
100.49.217.61,172.24.219.170,443,64774,tcp,11,5580,0.953
100.49.217.61,172.24.219.170,443,64782,tcp,11,5580,0.981
100.49.217.61,172.24.219.170,443,64783,tcp,11,5580,0.983
54.84.201.155,172.24.219.170,443,64754,tcp,11,5578,1.368
54.84.201.155,172.24.219.170,443,64755,tcp,11,5576,1.401
100.49.217.61,172.24.219.170,443,64794,tcp,11,5576,1.316
100.49.217.61,172.24.219.170,443,55922,tcp,11,5576,1.644
100.49.217.61,172.24.219.170,443,55947,tcp,11,5576,1.446
100.49.217.61,172.24.219.170,443,55923,tcp,9,5468,0.693
100.49.217.61,172.24.219.170,443,55931,tcp,9,5468,0.834
167.82.57.140,172.24.219.170,443,60209,udp,14,5402,46.748
100.49.217.61,172.24.219.170,443,55907,tcp,10,5198,6.445
192.178.177.94,172.24.219.170,443,51574,udp,11,5061,0.176
216.239.36.223,172.24.219.170,443,64661,udp,12,5040,0.039
104.18.5.149,172.24.219.170,443,50748,udp,10,4957,0.008
216.239.38.223,172.24.219.170,443,51874,udp,12,4908,0.258
216.239.36.223,172.24.219.170,443,61857,udp,11,4703,0.57
172.24.219.170,52.21.202.178,53272,443,tcp,7,4607,50.092
172.24.219.170,216.239.36.223,61857,443,udp,9,4606,0.208
172.24.219.170,192.178.177.94,51574,443,udp,8,4321,0.169
172.24.219.170,216.239.36.223,64661,443,udp,9,3967,0.04
172.24.219.170,216.239.38.223,51874,443,udp,10,3811,0.291
172.24.219.170,100.49.217.61,55947,443,tcp,11,3412,1.164
172.24.219.170,100.49.217.61,55922,443,tcp,11,3358,1.424
172.24.219.170,100.49.217.61,59149,443,tcp,13,3137,6.962
